[01/04/2026 19:07:40] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 19:07:40] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.netoyageRappel() >> Nettoyage automatique : Rappels expirés supprimés.
[01/04/2026 19:07:40] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[01/04/2026 19:08:02] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 19:08:02] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[01/04/2026 19:09:04] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 19:09:05] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.netoyageRappel() >> Nettoyage automatique : Rappels expirés supprimés.
[2026-04-01 19:09:22] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:29
[01/04/2026 19:09:26] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 
[01/04/2026 19:11:44] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 19:11:44] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[01/04/2026 20:07:04] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 20:07:05] USER: noaaaah_493 | CMD: !ping
[01/04/2026 20:21:05] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 20:21:24] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 20:52
[01/04/2026 20:21:24] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.run() >> noaaaah_493 | Code : SYNTAXE_INCORRECTE
[2026-04-01 20:21:36] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 20:52 ningen
[01/04/2026 20:21:44] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T20:52 in ningen
[2026-04-01 20:22:19] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 20:53 test
[01/04/2026 20:22:21] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T20:53 in test
[2026-04-01 20:23:38] USER: noaaaah_493 | CMD: !premier -event 01/04/2026 20:54 ningen
[01/04/2026 20:23:46] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T20:54 in ningen
[01/04/2026 20:25:21] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:25:21] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[01/04/2026 20:26:04] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:26:04] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 20:26:21] USER: noaaaah_493 | CMD: !premier -event 01/04/2026 20:57 ningen
